feature,importance_mean,importance_std
pH__std_24h,0.004426314279285746,0.0012902977604672562
Glucose__max_12h,0.0032224926053099527,0.0011160520192428588
MAP__std_6h,0.002688292241006851,0.00016735114346040397
FiO2__max_24h,0.0026705953675196974,0.00019182972599202325
BUN__mean_24h,0.0026472033174557573,0.00038531534797868336
Temp__min_12h,0.002540811541706189,0.00039124978703171013
Platelets__mean_24h,0.0023819953970631593,0.0003995928036614545
Temp__mean_6h,0.002316095236588643,0.00030626096091087576
Fibrinogen__min_24h,0.0022039471656338564,0.0003819722084520198
PaCO2__prev1,0.0021600283541948822,0.0003868054374345339
Temp__mean_12h,0.002143135292255694,0.0005002615656059929
Magnesium__max_24h,0.0020626177787349403,0.0013006726169465421
Glucose__std_24h,0.0017941159387997424,0.00135739620167608
Lactate__mean_24h,0.0017593936485697987,0.0003873297219768303
Glucose__prev1,0.0017400028847634169,0.0010068805900136381
Potassium__mean_24h,0.0017374669651407648,0.00048534951376115584
Temp__max_12h,0.001701469687365903,0.0007589646162999911
Unit1__miss,0.0016799123406817558,0.00021166313265662254
Lactate__max_24h,0.0014767406752916902,0.0007908531066674992
FiO2__min_24h,0.001433927314466349,0.00023980561593850473
Unit1__mean_6h,0.0012382636502173568,0.0010434688438850257
Potassium__min_24h,0.001222040401222761,0.0005248894021367008
WBC__std_24h,0.0011205922979498656,0.0006908417228160813
SBP__mean_12h,0.001096825816159199,0.0007555239623291551
Creatinine__mean_24h,0.001059208256061582,0.0008235394830764175
Platelets__max_12h,0.0010361624501895356,0.00028807172501643116
Creatinine__min_6h,0.0010329676829769943,0.00019356138227839663
BUN__min_24h,0.0009571360957087542,0.0003490444400022532
SBP__std_12h,0.0009506388608148655,0.0005843047889775235
HospAdmTime__mean_6h,0.000823796569820264,0.0007330223485684809
SBP__std_24h,0.0008146266984306089,0.0009121805499859376
Resp__mean_6h,0.0007893672135893812,0.0006472069964663868
Hct__delta_6h,0.0007395336241443173,0.0005245145922102226
MAP__min_6h,0.0007054573038572745,0.0005238900310777386
FiO2__min_12h,0.000644018387291553,0.00032462640367962776
O2Sat__mean_12h,0.0006139075489213451,0.0001996660601016295
HR__mean_6h,0.0006023663105431944,0.0002275689427714007
MAP__std_24h,0.0005768559427998163,0.0005621101375256033
Glucose__mean_24h,0.0005717764278930598,0.0002249394239157301
Creatinine__std_24h,0.0005683170077117098,0.00032048408405614535
Potassium__mean_12h,0.000529235503553693,0.00011998782727609543
O2Sat__min_12h,0.0005222226571824849,0.00013433909710453923
WBC__mean_24h,0.0005112589862996321,0.00040434019008033065
BaseExcess__delta_6h,0.00046425537368287377,0.0002241668008027105
DBP__min_24h,0.0004315456631052821,0.0007059807633561585
HCO3__std_12h,0.00040364344070933515,0.00020303358461586148
DBP__max_12h,0.00039179087102230136,0.000437272880464849
BUN__min_12h,0.0003826567581297432,0.00032112551787466607
HCO3__prev1,0.0003616219062427495,0.0001877825163838131
HCO3__std_24h,0.00035335615901730023,5.291931423140175e-05
FiO2__miss,0.00035112074267988115,0.00019350453086809213
WBC__std_12h,0.0003403024284382134,0.0004251160074871044
Resp__std_6h,0.00033353645931834925,0.0002915736566689299
DBP__max_24h,0.0003068630230792707,0.0003168498544904866
Chloride__std_12h,0.0003056857212625218,0.0005262330113941608
PTT__mean_6h,0.00029805268442803425,0.00022304895338520774
Glucose__mean_6h,0.000288281846403145,5.3046841167649756e-05
Calcium__max_24h,0.0002869917450079826,0.00015857499312570052
